node_id,lat,long
89808875,36.6547420,-121.7952750
89808878,36.6547160,-121.7933550
89819247,36.6572130,-121.7933280
89819249,36.6557750,-121.7933440
89819251,36.6528480,-121.7933770
89819254,36.6523280,-121.7933830
89840130,36.6523510,-121.7950680
89840132,36.6523480,-121.7950620
1647008545,36.6537227,-121.7934972
1647008555,36.6536754,-121.7937815
1647008557,36.6536840,-121.7938995
1647008605,36.6537098,-121.7936206
1647008614,36.6537227,-121.7933667
89820210,36.6529712,-121.7952899
89933385,36.6524892,-121.7952932
89933387,36.6523893,-121.7952110
2539940621,36.6571016,-121.7927976
2539940643,36.6569566,-121.7930187
2539995711,36.6528965,-121.7954444
2539995712,36.6527674,-121.7954417
2539995713,36.6528517,-121.7971986
2539995714,36.6529546,-121.7952057
2539995716,36.6528320,-121.7951171
2539995717,36.6522144,-121.7972093
2539995721,36.6529482,-121.7953800
2539995728,36.6527072,-121.7952137
2539995729,36.6527136,-121.7953827
2539995730,36.6529051,-121.7951413
2539995731,36.6526900,-121.7952942
2539995735,36.6527717,-121.7951386
2539995736,36.6528384,-121.7954658
2540005333,36.6528566,-121.7978476
2540005335,36.6523736,-121.7972066
2540005347,36.6523815,-121.7978576
2540005359,36.6522171,-121.7978611
89802394,36.6637640,-121.7990990
89804458,36.6580430,-121.7986700
89902768,36.6619700,-121.7995850
89933335,36.6640560,-121.7991670
89933336,36.6639220,-121.7991250
89933339,36.6635780,-121.7990990
89933342,36.6633510,-121.7991430
89933344,36.6629290,-121.7992780
89933346,36.6616270,-121.7996520
89933349,36.6614780,-121.7996200
89933351,36.6602930,-121.7989370
553020018,36.6611710,-121.8029430
553020023,36.6609660,-121.8017360
553020024,36.6607250,-121.8004600
553020025,36.6603150,-121.7996080
553020026,36.6599380,-121.7988920
553020028,36.6608840,-121.8010600
553020029,36.6608480,-121.8008380
89898067,36.6578136,-121.8027226
553020030,36.6609835,-121.8027420
2901320604,36.6609920,-121.8027760
2901320605,36.6609994,-121.8027906
2901320606,36.6610144,-121.8028040
2901320607,36.6610958,-121.8028490
2901320608,36.6611393,-121.8028885
2901320609,36.6611590,-121.8029132
89802756,36.6609580,-121.7927940
89802780,36.6589540,-121.7957080
89804460,36.6582420,-121.7985630
89804463,36.6584040,-121.7984320
89804464,36.6585420,-121.7982670
89804466,36.6586720,-121.7980500
89804468,36.6592855,-121.7969317
89819224,36.6608640,-121.7930280
89819226,36.6608020,-121.7931440
89819228,36.6607370,-121.7932350
89819230,36.6606970,-121.7932690
89819233,36.6606520,-121.7932880
89819235,36.6599440,-121.7933480
89819237,36.6585740,-121.7933790
89819239,36.6583670,-121.7933710
89819241,36.6580150,-121.7933360
89819244,36.6575820,-121.7933240
89899577,36.6596450,-121.7981630
89899579,36.6590600,-121.7960240
89899580,36.6588560,-121.7954180
89899582,36.6587550,-121.7952270
89899583,36.6586320,-121.7950350
553020021,36.6594750,-121.7985850
553020027,36.6597970,-121.7985870
553020108,36.6580450,-121.7943290
89917024,36.6438510,-121.7898580
89971978,36.6499510,-121.7907530
559548986,36.6487240,-121.7870050
89917021,36.6485936,-121.7898225
89929359,36.6485350,-121.7879080
89929360,36.6485077,-121.7873933
2612970975,36.6462812,-121.7916658
2612970977,36.6462750,-121.7898318
2612970978,36.6462660,-121.7871710
553019853,36.6499567,-121.7869329
2956919766,36.6499524,-121.7898040
89840133,36.6522940,-121.7897720
89880413,36.6570880,-121.7861980
89899515,36.6546650,-121.7862830
89899592,36.6549400,-121.7905290
89917014,36.6546950,-121.7897510
373831767,36.6546990,-121.7902170
89899590,36.6554023,-121.7911722
89994533,36.6546330,-121.7826230
89880415,36.6594770,-121.7826430
89880417,36.6597270,-121.7823250
89880419,36.6598410,-121.7822080
89880421,36.6599170,-121.7820500
89880423,36.6599460,-121.7818710
89880425,36.6599240,-121.7816870
89880427,36.6595480,-121.7804610
89880430,36.6593400,-121.7798260
89880432,36.6592900,-121.7796520
89880436,36.6592900,-121.7794700
89880439,36.6593420,-121.7792960
3727683584,36.6550263,-121.7736373
89994529,36.6551510,-121.7704060
89994530,36.6551510,-121.7707890
89994527,36.6550872,-121.7678743
2342889679,36.6551884,-121.7665450
2342889683,36.6550817,-121.7684989
2342889689,36.6551549,-121.7670867
3727683587,36.6551113,-121.7716948
